sku;country;stock_flat;stock_atomic;last_update_flat;last_update_atomic;publication_status_atomic;publication_status_flat
H0000251 3400;FR;1;1;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000164E 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000215E 37;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000215E 55;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000215E 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000215E 93;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000249E 37;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000249E 7C;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000249E 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000249E 93;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000249E 9J;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005691 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005701 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005711 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005721 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005731 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005741 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005751 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005761 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005771 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005781 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005791 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005801 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005811 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005821 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005831 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H0005841 89;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000830G 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000831G 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000832G 00;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H000833G OJ;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 45;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 48;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 52;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 55;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 56;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 58;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 59;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 60;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 61;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001063S 62;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 01340;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 01345;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 01350;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 01355;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 01360;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 01365;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 01370;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
H001089Z 01375;FR;0;0;2020-01-01 12:00:00;2021-01-18 8:56:49;0;1
